Seed,Model,MAE,Corr,Acc-7,Acc-2,F1
1,Audio-only,0.789,0.308,0.4036,0.6876,0.6912
1,C-NoGate,0.551,0.7419,0.5026,0.8178,0.7939
1,C-PreGate,0.5302,0.7288,0.5541,0.8334,0.807
1,S-NoGate,0.5692,0.7298,0.5194,0.8318,0.8557
1,S-PreGate,0.5365,0.7669,0.543,0.8433,0.8356
1,Text-only,0.6536,0.6358,0.4496,0.7525,0.7767
1,Visual-only,0.7895,0.3471,0.3898,0.6953,0.6616
2,Audio-only,0.8425,0.3295,0.3648,0.6458,0.7106
2,C-NoGate,0.5511,0.74,0.5169,0.7822,0.8117
2,C-PreGate,0.5282,0.7609,0.5201,0.8469,0.8507
2,S-NoGate,0.5654,0.7396,0.513,0.8341,0.8696
2,S-PreGate,0.5338,0.7654,0.5225,0.844,0.8036
2,Text-only,0.666,0.6432,0.4397,0.7428,0.7744
2,Visual-only,0.7831,0.3822,0.3968,0.7108,0.7174
3,Audio-only,0.8452,0.3044,0.3743,0.6808,0.633
3,C-NoGate,0.5655,0.7384,0.522,0.7927,0.7786
3,C-PreGate,0.5444,0.7635,0.5464,0.8393,0.8584
3,S-NoGate,0.5615,0.7526,0.5089,0.773,0.7497
3,S-PreGate,0.5681,0.7729,0.5409,0.847,0.8279
3,Text-only,0.6334,0.6553,0.4414,0.7761,0.8012
3,Visual-only,0.8298,0.3502,0.4299,0.7135,0.6723
4,Audio-only,0.8467,0.2796,0.419,0.638,0.6728
4,C-NoGate,0.5822,0.7285,0.5164,0.7777,0.8137
4,C-PreGate,0.5606,0.7422,0.525,0.8218,0.8245
4,S-NoGate,0.5768,0.7377,0.5147,0.8115,0.8186
4,S-PreGate,0.554,0.7601,0.5154,0.8492,0.8533
4,Text-only,0.645,0.6574,0.4396,0.792,0.7764
4,Visual-only,0.8812,0.3244,0.379,0.6694,0.6422
5,Audio-only,0.8037,0.3581,0.436,0.6567,0.6453
5,C-NoGate,0.6084,0.7316,0.5349,0.79,0.8023
5,C-PreGate,0.5771,0.7555,0.5386,0.823,0.8625
5,S-NoGate,0.5547,0.7571,0.5068,0.8082,0.8101
5,S-PreGate,0.5194,0.7524,0.5406,0.8303,0.8275
5,Text-only,0.6535,0.6723,0.4473,0.778,0.7765
5,Visual-only,0.8467,0.3338,0.3539,0.6432,0.6656
6,Audio-only,0.848,0.3157,0.4186,0.6638,0.6652
6,C-NoGate,0.584,0.7421,0.5168,0.7876,0.8193
6,C-PreGate,0.5862,0.753,0.5373,0.825,0.8503
6,S-NoGate,0.5805,0.7551,0.5083,0.7859,0.7787
6,S-PreGate,0.5423,0.7628,0.5393,0.8226,0.8484
6,Text-only,0.6872,0.6512,0.4493,0.7645,0.7891
6,Visual-only,0.8128,0.3437,0.4005,0.6991,0.7194
7,Audio-only,0.842,0.3317,0.4585,0.6921,0.6633
7,C-NoGate,0.6045,0.7501,0.522,0.8191,0.8123
7,C-PreGate,0.5327,0.7441,0.5306,0.8286,0.8557
7,S-NoGate,0.5506,0.7457,0.5087,0.795,0.7995
7,S-PreGate,0.5281,0.767,0.5352,0.8273,0.8764
7,Text-only,0.6759,0.6524,0.4337,0.7733,0.779
7,Visual-only,0.8339,0.322,0.4428,0.6941,0.6968
8,Audio-only,0.8398,0.3433,0.4226,0.6948,0.7257
8,C-NoGate,0.5813,0.7303,0.5141,0.8081,0.8284
8,C-PreGate,0.5528,0.7461,0.5285,0.8059,0.8343
8,S-NoGate,0.5785,0.7567,0.5144,0.8098,0.8286
8,S-PreGate,0.5562,0.7624,0.5263,0.8145,0.8328
8,Text-only,0.6519,0.6482,0.4565,0.7622,0.79
8,Visual-only,0.8306,0.3462,0.3929,0.695,0.6879
9,Audio-only,0.7971,0.347,0.3995,0.6877,0.6835
9,C-NoGate,0.5876,0.7522,0.5228,0.789,0.7996
9,C-PreGate,0.5514,0.7576,0.5215,0.8198,0.8174
9,S-NoGate,0.5487,0.7636,0.5121,0.8197,0.8433
9,S-PreGate,0.519,0.7653,0.5261,0.8454,0.8476
9,Text-only,0.6665,0.6459,0.4483,0.7815,0.7802
9,Visual-only,0.8395,0.3763,0.4151,0.736,0.6895
10,Audio-only,0.8058,0.3247,0.4064,0.6995,0.679
10,C-NoGate,0.5642,0.746,0.5126,0.816,0.82
10,C-PreGate,0.5607,0.7462,0.5233,0.842,0.8421
10,S-NoGate,0.5661,0.7465,0.5113,0.8021,0.8078
10,S-PreGate,0.5401,0.7609,0.5283,0.851,0.8499
10,Text-only,0.6514,0.6558,0.4466,0.7724,0.7812
10,Visual-only,0.7887,0.3811,0.4156,0.7114,0.7012
